No,speed,ODBA_mean,ODBA_std
0,,47.38554217,15.69731105
1,,41.64321608,16.24957183
2,10.09084924,39.6080402,9.189087677
3,8.642272354,37.1959799,9.208734324
4,2.270742625,36.43718593,5.428829068
5,0.485012885,40.98994975,5.634593394
6,5.25057608,38.28140704,6.81494117
7,6.396282758,38.28643216,6.481777071
8,1.392175319,39.66834171,4.841254122
9,0.353452806,40.06532663,3.629963768
10,2.502092121,37.92964824,5.893960402
11,2.625358382,39.34673367,5.120201088
12,0.354645004,41.76884422,3.587644091
13,0.285356435,42.06030151,7.632012841
14,0.339654021,40.61306533,5.054082399
15,3.422950075,39.54773869,6.075445465
16,11.64301754,40.33668342,8.627536321
17,21.54342445,37.92462312,8.881653312
18,39.59848077,39.40703518,13.40404764
19,40.72636911,41.03015075,17.02876949
20,13.74839003,38.35696414,7.671922714
21,11.32470805,39.20850709,7.557501188
22,6.221474334,42.12010008,3.465390132
23,3.444418672,39.1559633,9.562307627
24,8.565437517,42.19599666,14.78460701
25,5.8940904,39.6205171,8.966359856
26,0.340254959,38.99749791,6.043972348
27,0.14996478,39.54045038,4.612217535
28,0.08827395,38.53377815,5.715698499
29,0.101035859,39.18598832,5.068301185
30,0.084550251,37.764804,3.411660661
31,0.115775017,40.14070352,8.741991396
32,0.98978709,36.88442211,8.423567593
33,1.216034153,35.58291457,6.778765956
34,0.632790243,36.22110553,4.415750337
35,0.461936305,38.57286432,7.106050033
36,0.894015141,37.48743719,7.967180984
37,1.139560885,39.84422111,4.972371331
38,0.74051483,37.52261307,4.287206773
39,0.518747007,35.72361809,11.5779636
40,0.860528831,38.0201005,5.546477717
41,0.876387626,37.47236181,3.109070851
42,0.815879287,38.47738693,3.421516489
43,0.681248398,36.90452261,3.632064027
44,0.296088086,37.26633166,4.686602536
45,0.207634663,36.63316583,5.958070033
46,0.643709434,41.81909548,9.098977643
47,1.242944906,40.12562814,2.365857751
48,2.131328633,40.38190955,2.802524772
49,2.189735532,41.67336683,4.374301865
50,0.946267432,38.51256281,3.977144877
51,0.351257152,39.46231156,5.061167232
52,0.298218078,40.92462312,6.514718298
53,0.114071607,38.12562814,4.763691875
54,0.246285235,34.67839196,2.444784301
55,0.64108925,36.64824121,3.312362169
56,0.810747927,36.83417085,4.352281004
57,0.598698662,39.63819095,2.589066447
58,0.681917724,38.52261307,2.980378244
59,0.828393222,39.25125628,13.22921945
60,0.582150667,37.11055276,4.250668194
61,0.750463383,36.49748744,4.386908771
62,0.623518814,32.74371859,4.49003903
63,0.144640892,32.21105528,2.369334744
64,0.078386773,34.12060302,5.54610893
65,0.121565438,33.50251256,2.573296132
66,0.354590496,38.79396985,16.228976
67,0.361890956,37.48743719,4.666634801
68,0.272478874,34.59296482,3.112650594
69,0.998297662,37.25628141,2.86718538
70,1.757386577,37.26130653,2.940286846
71,1.032605834,38.27638191,6.061576405
72,0.234080717,36.43718593,3.385577468
73,0.287316027,39.97487437,4.479363273
74,0.216000766,38.33668342,4.957326546
75,1.251354841,39.51256281,5.788447424
76,2.432465195,39.90954774,4.804924118
77,1.359991995,35.73869347,2.583686802
78,0.561580203,38.39698492,5.966252745
79,1.095975157,41.50753769,4.598305725
80,1.300330052,42.74874372,2.263360318
81,1.473989233,34.41708543,4.762912578
82,1.323261183,40.30653266,6.760178073
83,1.142376022,42.6281407,1.601636117
84,1.339979252,42.32160804,3.670757104
85,0.779483966,32.18090452,5.514479541
86,0.182306257,41.8241206,2.615035979
87,0.693832465,40.58291457,8.333012965
88,1.356155156,33.30150754,7.943237555
89,0.967738721,40.09547739,3.219901938
90,0.738526092,36.15577889,10.73578781
91,0.798883936,34.33165829,3.693067356
92,0.615066033,37.15075377,2.529700349
93,0.916788088,37.11557789,5.50666189
94,1.354535132,36.17085427,3.475825309
95,1.060210906,35.8040201,4.009634618
96,0.322498307,33.22613065,2.944054669
97,0.199805904,35.42713568,5.065745376
98,1.032438155,38.83417085,1.593844375
99,1.722786688,40.30150754,15.39756385
100,0.992557445,40.48241206,5.513659804
101,0.491539527,42.71356784,9.118062412
102,0.683278281,41.99497487,7.099789428
103,12.63384141,40.54271357,10.42884166
104,25.83527621,38.94472362,14.76012419
