OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
0,0,566,4065.727736275614916
0,1,566,4069.406416888459262
0,2,566,4063.692810635729984
0,3,566,4064.791405848131944
0,4,566,3440.945617840573505
0,5,565,1526.255588799723228
0,6,77,1311.136912205971612
0,7,77,1283.994877091099397
0,8,77,1159.941316357480673
0,9,77,837.810098093747115
0,10,77,503.384170702008532
0,11,77,423.589396878924333
0,12,77,433.051823537983410
0,13,77,402.584250677087994
0,14,77,284.591007951188203
0,15,77,223.840080313523003
0,16,77,379.250150305719842
0,17,77,429.421210707512273
0,18,77,413.670346720155067
0,19,77,421.047442571686133
0,20,77,425.416545787825783
0,21,77,414.466130836732304
0,22,77,411.785837761671814
0,23,77,338.343298364148154
0,24,77,1272.405107901835436
0,25,77,1276.516621130635485
0,26,77,1267.664243738625828
0,27,77,1275.193969856903323
0,28,77,1274.792856940640149
0,29,77,1292.853543630690410
0,30,77,1269.856186443037814
0,31,77,1286.183776053492920
0,32,77,1280.972121261058192
0,33,77,1261.731504331192127
0,34,77,1268.731292289782687
0,35,77,1274.826701376402525
0,36,77,1279.031868462880766
0,37,77,1281.706721595198587
0,38,77,1309.737212632820047
0,39,77,1284.183311692396046
0,40,77,1284.822696246227679
0,41,77,1286.540313854918622
0,42,77,1285.234924787707087
0,43,77,1274.774588001397660
0,44,77,1271.297882923985753
0,45,77,1271.047956964461946
0,46,77,1285.843104440204343
0,47,77,1278.688464131080309
0,48,77,1294.488309446125868
0,49,77,1291.181392838764850
0,50,77,1281.605596164829649
0,51,77,1278.677038758293293
0,52,77,1287.480408720954301
0,53,77,1280.023603710249290
0,54,77,1284.361560485331665
0,55,77,1274.869019127881757
0,56,77,1284.155391361571674
0,57,77,1270.070117847431902
0,58,77,1253.215850843488624
0,59,77,1270.689271032443457
0,60,77,1274.316903168690715
0,61,77,1279.212838861473301
0,62,77,1284.301099231701073
0,63,77,1279.106731459518187
0,64,77,1282.125631889301530
0,65,77,1280.756475647328443
0,66,77,1277.710674368597438
0,67,77,1283.016111192289145
0,68,77,1274.051198612708049
0,69,77,1267.886358650182274
0,70,77,1276.500647268072953
0,71,77,1269.135226053107999
0,72,77,1264.947658662806589
0,73,77,1267.231931788025577
0,74,77,1266.081213962500442
0,75,77,1269.848309855010257
0,76,77,1270.143625693143576
0,77,77,1265.362004629100284
0,78,77,1279.540947266176545
0,79,77,1182.301431948827940
0,80,77,777.697220789064204
0,81,77,608.449009447723597
0,82,77,636.025805799503019
0,83,77,605.901123817354915
0,84,77,694.901819561736716
0,85,77,686.348390430973836
0,86,77,648.678441650952436
0,87,77,690.439269702025513
0,88,77,798.726366519383987
0,89,77,792.398144243552110
0,90,77,788.472090445876802
0,91,77,834.638979112247284
0,92,77,787.877823936590062
0,93,77,867.749915015568035
0,94,77,1010.637955707225842
0,95,77,1024.955864461767305
0,96,77,995.523229113102502
0,97,77,994.542706034088724
0,98,77,977.429002470155751
0,99,77,986.226267713644233
0,100,77,1042.143996612114051
0,101,77,1020.438267060467524
0,102,77,991.833246304829800
0,103,77,992.855203282167622
0,104,77,1066.996276225845577
0,105,77,1068.865339435910983
0,106,77,988.234560448371553
0,107,77,1281.200582637058460
0,108,77,1090.834307415955891
0,109,372,1263.157812806870652
0,110,372,1332.076461306956389
0,111,77,1294.628882000799649
0,112,77,1273.397478203389028
0,113,77,1278.429972290285377
0,114,77,1285.385761551827045
0,115,77,1279.306382219483567
0,116,77,1268.103214673440107
0,117,77,1263.122446801838805
0,118,77,1273.341765881190668
0,119,77,1263.372672029218847
0,120,77,1275.118878407659622
0,121,77,1274.746299700703275
0,122,77,1272.862659239325922
0,123,77,1272.711065131485157
0,124,77,1271.634092773880411
0,125,77,1275.385159408276877
0,126,77,1283.161083653096512
0,127,77,1273.043134546912370
0,128,77,1274.471723534201601
0,129,77,1282.077201530443062
0,130,77,1280.732652756269772
0,131,77,1280.751277620050814
0,132,77,1277.469320653458681
0,133,77,1280.864677254615572
0,134,77,1276.835326345676322
0,135,77,1280.616212556160008
0,136,77,1273.997985515196660
0,137,77,1271.003937402656447
0,138,77,1263.660129600109258
0,139,77,1272.272975341749770
0,140,77,1263.766874301862117
0,141,77,1268.342352544657615
0,142,77,1274.153187950706752
0,143,77,1270.755155257227898
0,144,77,1269.916145471889877
0,145,77,1276.796971002859209
0,146,77,1272.428685571668211
0,147,77,1274.926196547229210
0,148,77,1269.269634389327848
0,149,77,1267.675041440461882
0,150,77,1290.977533334172222
0,151,77,1262.363572165507094
0,152,77,1269.823504989863295
0,153,77,1268.638048267888735
0,154,77,1276.842583499668763
0,155,77,1274.979268742098384
0,156,77,1264.192753113413346
0,157,77,1276.561697001848643
0,158,77,1273.372689605102096
0,159,77,1273.790886616172884
0,160,77,1279.285649381387429
0,161,77,1273.838682267196646
0,162,77,1274.039604690543683
0,163,77,1257.959658269093779
0,164,77,1279.001318716685091
0,165,77,1305.238523135540618
0,166,77,1269.160527987116211
0,167,77,1285.594475115575506
0,168,77,1263.684127147310846
0,169,77,1271.616428660357315
0,170,77,722.278016458530601
0,171,77,257.563148140600049
0,172,77,583.957740520850280
0,173,77,1038.481479212537579
0,174,77,674.098852021497237
0,175,77,620.870480932674241
0,176,77,509.220630703359859
0,177,77,343.232085306100032
0,178,77,251.840618674237277
0,179,77,333.120175408251896
0,180,77,209.304150568830607
0,181,77,214.286645249819827
0,182,77,320.171569096634300
0,183,77,321.603431293696360
0,184,77,184.294119148673190
0,185,77,200.105300884169253
0,186,77,183.831379766557490
0,187,77,170.242796033330706
0,188,77,215.000706545480313
0,189,77,200.822548811318313
0,190,77,216.328460731655099
0,191,77,68.225388418156328
0,192,77,183.778477619826020
0,193,77,173.675795186294692
0,194,77,260.312703928246037
0,195,77,409.131075351631239
0,196,77,751.467890660569310
0,197,77,1020.055144117411146
0,198,77,1062.745386244303745
0,199,77,973.921673754487529
0,200,77,986.656603311171011
0,201,77,983.443488466801455
0,202,77,987.053543858968737
0,203,77,982.235105256831389
0,204,77,975.506732688491979
0,205,77,985.542519726919977
0,206,77,992.829837649572710
0,207,77,994.805094356281643
0,208,77,1001.487528818720762
0,209,77,1004.430980503539558
0,210,77,995.747947726580378
0,211,77,1010.052694782215553
0,212,77,993.673297994386189
0,213,77,1002.723172195802135
0,214,77,990.670616016871350
0,215,77,994.469813817022441
0,216,77,988.546970133121022
0,217,77,979.753014690961209
0,218,77,982.518078868957218
0,219,77,982.754873153123754
0,220,77,989.579917640672647
0,221,77,980.603101901940704
0,222,77,982.840776993360237
0,223,77,988.237933425102938
0,224,77,992.865631090437319
0,225,77,931.888014212180906
0,226,77,974.777273959876311
0,227,77,974.522136446214517
0,228,77,1004.234624342608299
0,229,77,983.800227896281740
0,230,77,955.870972586411085
0,231,77,981.595582992875393
0,232,77,980.964410450181617
0,233,77,977.911756426783882
0,234,77,977.929164978352446
0,235,77,977.116266058313158
0,236,77,1000.649143132304175
0,237,77,976.747470213072688
0,238,77,949.914515035505246
0,239,77,962.330940894847913
0,240,77,972.953671197103631
0,241,77,936.338480323436215
0,242,77,876.544860220081205
0,243,77,866.084083107734159
0,244,77,827.572082690864363
0,245,77,697.192341450384902
0,246,77,637.986013238237774
0,247,77,281.595376848751471
0,248,77,236.614287212405571
0,249,77,391.369606046626473
0,250,77,414.042099637907768
0,251,77,686.559219709129593
0,252,77,691.182318932961834
0,253,77,684.391770262250930
0,254,77,707.812313754327192
0,255,77,694.544849156589180
0,256,77,705.229207186180702
0,257,77,695.366011360716357
0,258,77,704.651468501427757
0,259,77,703.411128644462224
0,260,77,733.034305645262975
0,261,77,717.016675454542906
0,262,77,719.217436385051769
0,263,77,650.154110506616576
0,264,77,583.226858300089475
0,265,77,594.268221057715095
0,266,77,533.650176573036674
0,267,77,619.015397732008182
0,268,77,678.066305432228546
0,269,77,653.376899327736851
0,270,77,562.796729969810485
0,271,77,608.090774380715402
0,272,77,570.314307218210388
0,273,77,553.705086983198157
0,274,77,513.170635541479555
0,275,77,385.099902579644834
0,276,77,1231.991671022514083
0,277,77,1289.156204520238362
0,278,77,1279.276244929938457
0,279,77,1276.148591198975055
0,280,77,1277.627816238518790
0,281,77,1269.119334391874645
0,282,77,1272.242808408965629
0,283,77,1268.743385683185124
0,284,77,1271.887134930363572
0,285,77,1277.210825223551865
0,286,77,1278.109219615900884
0,287,77,1278.149417411461400
0,288,77,1272.835074123561526
0,289,77,1270.037518098493820
0,290,77,1282.275194487738190
0,291,77,1277.674718665999308
0,292,77,1277.843698962338067
0,293,77,1293.119192209473113
0,294,77,1273.960605033238380
0,295,77,1275.177924871222785
0,296,77,1276.773252798725935
0,297,77,1277.109001532938464
0,298,77,1281.332294814606030
0,299,77,1285.076519733163195
0,300,77,1337.157464723305111
0,301,77,1309.446832582140360
0,302,77,1293.560420770706060
0,303,77,1295.586982791551918
0,304,77,1276.742297290018314
0,305,77,1276.715378457023235
0,306,77,1272.905989129233603
0,307,77,1263.141060017648897
0,308,77,1274.423468625987425
0,309,77,1278.228634506063599
0,310,77,1274.662568253896097
0,311,77,1301.952772961957180
0,312,77,1276.870284752615362
0,313,77,1284.670447591404809
0,314,77,1266.802300879318636
0,315,77,1279.183549434540510
0,316,77,1282.511432664126460
0,317,77,1276.289562195127701
0,318,77,1288.764451905150509
0,319,77,1281.598736406418993
0,320,77,1348.550946429658097
0,321,77,1281.727520131861411
0,322,77,1281.466016472487127
0,323,77,1281.893634747497799
0,324,77,1296.791467724800441
0,325,77,1278.991162862698729
0,326,77,1282.866392240809091
0,327,77,1280.885481948449524
0,328,77,1276.449261592420044
0,329,77,1271.622087244953491
0,330,77,1283.868793576601320
0,331,77,1275.588838375796968
0,332,77,1285.666935095201552
0,333,77,1266.593822948212846
0,334,77,1269.602038813415902
0,335,77,1270.865344951911084
0,336,77,1272.461707592470020
0,337,77,1264.240589652501512
0,338,77,1264.542762905110294
0,339,77,1265.245772715427393
0,340,77,1269.343505737230316
0,341,77,1247.692730743225411
0,342,77,1264.889680551722904
0,343,77,1263.713686646306542
0,344,77,1267.141277914631473
0,345,77,1270.814633468189413
0,346,77,1282.293825073900507
0,347,77,1285.963057197485796
0,348,77,1283.771922762324039
0,349,77,1283.021557344950224
0,350,77,1288.397445759662105
0,351,77,1260.770145648036305
0,352,77,1282.665482935896762
0,353,77,1226.937621315346860
0,354,372,1260.959551261875504
0,355,372,1226.224394765002671
0,356,372,1492.604928255543655
0,357,372,1506.094682496558107
0,358,372,1549.159290486436703
0,359,372,1526.838688499225782
0,360,372,1364.756346836892362
0,361,372,1472.647759859643429
0,362,372,1345.466128494468876
0,363,372,1253.996185713000614
0,364,372,1448.696472039566743
0,365,77,1264.407478220952498
0,366,77,1275.482241568004156
0,367,77,1286.325140884264556
0,368,77,1295.086753601479813
0,369,77,1259.037801012726504
0,370,77,1253.324443243821406
0,371,77,1266.398209559947418
0,372,77,1268.114964626268147
0,373,77,1269.747495979062023
0,374,77,1265.977963735199864
0,375,77,1268.553204933282814
0,376,77,1277.820202012585924
0,377,77,1276.852260693041671
0,378,77,1270.935874986256295
0,379,77,1275.150370439979042
0,380,77,1275.906459840037314
0,381,77,1270.416114677065480
0,382,77,1270.881089236097750
0,383,77,1278.671659603331364
0,384,77,1270.598950766512644
0,385,77,1270.008238352775379
0,386,77,1265.560388921624281
0,387,77,1264.787454560966353
0,388,77,1272.526153754494544
0,389,77,1270.698259305357624
0,390,77,1275.607929259710772
0,391,77,1273.728107939076153
0,392,77,1276.785318414005815
0,393,77,1273.707851077348096
0,394,77,1265.172459697509339
0,395,77,1269.432790697812834
0,396,77,1265.736386853640397
0,397,77,1269.473907569901485
0,398,77,1274.860397556155476
0,399,77,1271.906779989397592
