OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
0,0,566,4064.266081941948869
0,1,566,4109.751717547100270
0,2,566,4041.192435123327868
0,3,566,4016.100948267111562
0,4,566,4008.024186074019326
0,5,566,4008.166232540928377
0,6,566,4049.323546716962483
0,7,566,4070.968404096078302
0,8,566,4074.964748332896306
0,9,566,4075.667979370239209
0,10,566,4117.975835687998369
0,11,566,4120.399773376516350
0,12,566,4119.287114945033863
0,13,566,4123.126875786777418
0,14,566,4120.476724447331435
0,15,566,4067.494005409437250
0,16,566,4119.232182898242172
0,17,566,4024.267734849008775
0,18,566,4194.103662788171277
0,19,566,4361.717833122234879
0,20,566,3795.521194843647663
0,21,566,3407.041294038053820
0,22,566,3394.507929785814213
0,23,566,3397.909744945956845
0,24,566,4044.467468927525715
0,25,566,4072.822009503684512
0,26,566,4084.000940863403230
0,27,566,4085.185594341576234
0,28,566,4085.100074290345674
0,29,566,4077.922388681065968
0,30,566,4075.785547187526390
0,31,566,4080.651696816503318
0,32,566,4069.547200336110564
0,33,566,4076.720890487700217
0,34,566,4076.970690854542681
0,35,566,4071.171768775344390
0,36,566,4072.873656002314419
0,37,566,4079.885280317239904
0,38,566,4079.545150219634252
0,39,566,4086.759650738620621
0,40,566,4079.494191053443956
0,41,566,4086.108504018011899
0,42,566,4077.530511213017689
0,43,566,4080.042538264513496
0,44,566,4080.481488929701754
0,45,566,4081.107296243984365
0,46,566,4077.482297754167575
0,47,566,4071.670297856216166
0,48,566,4078.087870472486429
0,49,566,4071.957441556352478
0,50,566,4074.499972578111283
0,51,566,4072.274415117467925
0,52,566,4072.948258020329376
0,53,566,4072.201556867691124
0,54,566,4070.530347146122040
0,55,566,4074.840283043465206
0,56,566,4070.149525424253170
0,57,566,4073.406147886992585
0,58,566,4071.878895928903148
0,59,566,4068.053194967494164
0,60,566,4071.191503765968719
0,61,566,4081.922309221527030
0,62,566,4083.613359848806795
0,63,566,4082.446606516513839
0,64,566,4082.433313640207871
0,65,566,4083.121715455610229
0,66,566,4084.420064192768223
0,67,566,4086.543203515142523
0,68,566,4083.456694110377157
0,69,566,4074.717232519071786
0,70,566,4084.754735712454476
0,71,566,4085.860549272021672
0,72,566,4088.257509089058203
0,73,566,4085.178624405279152
0,74,566,4085.100074290345674
0,75,566,4106.920237593150887
0,76,566,4082.720529390788215
0,77,566,4081.079849215980175
0,78,566,4089.444069407553798
0,79,566,4077.809630880169152
0,80,566,4072.072036036988266
0,81,566,4088.057416325102622
0,82,566,4085.640818020992356
0,83,566,4072.863827112728359
0,84,566,4085.454415423356750
0,85,566,4086.137401225627855
0,86,566,4084.355958899336201
0,87,566,4088.026449277872416
0,88,566,4082.964896983448398
0,89,566,4087.275020708673765
0,90,566,4076.978834057641052
0,91,566,4082.119642620687046
0,92,566,4087.709755069055973
0,93,566,4076.552179368668931
0,94,566,4065.990106332793857
0,95,566,4070.422886636724797
0,96,566,4070.553002084302989
0,97,566,4073.574642307240083
0,98,566,4078.837628705719908
0,99,566,4079.685728718158316
0,100,566,4077.757978475290201
0,101,566,4070.867169858421221
0,102,566,4077.516318399642387
0,103,566,3838.604418012766018
0,104,566,3832.965299305998542
0,105,566,3977.850624748492464
0,106,566,4352.468440184562496
0,107,566,4661.117179524281710
0,108,566,5049.786114811779953
0,109,566,4736.000852083434438
0,110,566,4031.387250719547865
0,111,566,3792.104213470073773
0,112,566,4286.897823364492069
0,113,566,4355.433914393619489
0,114,566,4088.595588280248194
0,115,566,4133.406243437681951
0,116,566,4085.867015188883215
0,117,566,4067.640631219593160
0,118,566,4080.143633411086284
0,119,566,4071.061031891306357
0,120,566,4068.406989413129395
0,121,566,4068.160598636256964
0,122,566,4067.265990357328519
0,123,566,4080.981025735490221
0,124,566,4082.280723529113402
0,125,566,4079.799514921316586
0,126,566,4085.198252832999060
0,127,566,4084.582812909965469
0,128,566,4071.226558291143192
0,129,566,4073.380251497550944
0,130,566,4083.639466868244654
0,131,566,4082.287551369763605
0,132,566,4078.174780804086822
0,133,566,4074.489324137247422
0,134,566,4084.820509835314624
0,135,566,4083.907328978691112
0,136,566,4087.158391863868019
0,137,566,4086.975947674109648
0,138,566,4087.471371978347634
0,139,566,4085.522618123115990
0,140,566,4081.269198405690531
0,141,566,4079.197347434540006
0,142,566,4079.046308366331232
0,143,566,4087.209586089617460
0,144,566,4084.498105526155996
0,145,566,4083.311523618416231
0,146,566,4079.230661342914118
0,147,566,4084.458280473422292
0,148,566,4083.349251877647930
0,149,566,4081.680129033937192
0,150,566,4087.176266338034566
0,151,566,4088.899927303293225
0,152,566,4084.733038691583261
0,153,566,4085.462777162826569
0,154,566,4088.900130226684723
0,155,566,4074.666759072422792
0,156,566,4067.809059363308734
0,157,566,4069.813494038247882
0,158,566,4074.759710714516132
0,159,566,4071.861142598151673
0,160,566,4072.148463519991310
0,161,566,4071.842603171342489
0,162,566,4072.541064104851102
0,163,566,4070.909501866511619
0,164,566,4070.837622833021214
0,165,566,4075.432053355391417
0,166,566,4075.331998207759170
0,167,566,4075.174961923674800
0,168,566,4068.171171803672678
0,169,566,4072.206918276043780
0,170,566,4074.049035591019674
0,171,566,4070.228851569992457
0,172,566,4072.868731663391372
0,173,566,4070.285897487014608
0,174,566,4080.620286186869635
0,175,566,4079.687893863371755
0,176,566,4070.582119535036782
0,177,566,4070.988767777439534
0,178,566,4071.087004581820565
0,179,566,4077.423888576284298
0,180,566,4070.022059554629777
0,181,566,4071.289808303325117
0,182,566,4070.997439458705230
0,183,566,4072.280028827431579
0,184,566,4052.572042827208861
0,185,566,4084.984349142935571
0,186,566,4073.452929845464951
0,187,566,4069.188833788374723
0,188,566,4068.675752770383951
0,189,566,4074.703421929005799
0,190,566,4071.163754872689424
0,191,566,4069.795308643445424
0,192,566,4071.792722573763967
0,193,566,4071.206414593680620
0,194,566,4072.300047778255703
0,195,566,3896.622828136203680
0,196,566,3586.996835692075820
0,197,566,3466.975015009428716
0,198,566,3814.361994145088829
0,199,566,3480.686450830551166
0,200,566,3447.298976430198309
0,201,566,2915.169125093525508
0,202,566,2227.361707026638214
0,203,566,4097.047807634296078
0,204,566,4064.867171981377851
0,205,566,4067.760115605945884
0,206,566,4079.479618822238081
0,207,566,4068.354748831490269
0,208,566,4069.110072302944445
0,209,566,4067.576016777005407
0,210,566,4064.139705006870827
0,211,566,4067.909632227074326
0,212,566,4070.143465943753199
0,213,566,4068.259167537125450
0,214,566,4069.717386092536344
0,215,566,4072.446158558074785
0,216,566,4064.462731861350676
0,217,566,4072.997863908668478
0,218,566,4069.364797104165518
0,219,566,4069.796784525295152
0,220,566,4068.332416438483506
0,221,566,4067.661609366694847
0,222,566,4068.105584384718441
0,223,566,4060.447515872286658
0,224,566,4068.685233144025915
0,225,566,4070.818341532420163
0,226,566,4079.432905273806682
0,227,566,4070.553002084302989
0,228,566,4069.374829205377409
0,229,566,4061.830454221640593
0,230,566,4072.594490680737181
0,231,566,4074.487610048778151
0,232,566,4077.672267820409161
0,233,566,4076.699146716845007
0,234,566,4068.005004597207517
0,235,566,4073.371729047476947
0,236,566,4070.613243558380418
0,237,566,4074.526135965864341
0,238,566,4071.245063303209918
0,239,566,4070.320270477141548
0,240,566,4073.082750125814528
0,241,566,4068.173372851460499
0,242,566,4072.773603417263075
0,243,566,4076.111490464482813
0,244,566,4072.311856263448590
0,245,566,4071.388675755355962
0,246,566,4062.047545096450449
0,247,566,4068.450537694508967
0,248,566,4070.394062468638822
0,249,566,4071.946903095234120
0,250,566,4068.148723892072667
0,251,566,4062.897348009991219
0,252,566,4070.479817435079440
0,253,566,4070.201847742342125
0,254,566,4064.018379043552159
0,255,566,4074.328073515927372
0,256,566,4071.016014587073187
0,257,566,4072.385742479210876
0,258,566,4071.181953889954457
0,259,566,4065.175058122134487
0,260,566,4076.485438539846200
0,261,566,4070.503498344304717
0,262,566,4061.974681561108810
0,263,566,4066.671055828516728
0,264,566,4051.089894283581089
0,265,566,4054.763583964330337
0,266,566,4076.700342469310272
0,267,566,4068.843020871541285
