OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
0,0,565,844.953849807112420
0,1,72,551.808649602180481
0,2,566,8165.163380913246328
0,3,72,6931.008572300724154
0,4,72,6937.410892269736905
0,5,72,6906.566056430971003
0,6,72,6933.518655041636521
0,7,72,6932.651421959350955
0,8,72,6934.695144704129234
0,9,72,6935.741478925153388
0,10,72,6937.840788606822571
0,11,72,6933.837881840879163
0,12,72,6928.756931610159882
0,13,72,6954.936680486965997
0,14,72,6934.466237764630932
0,15,72,6937.279444502622027
0,16,72,6928.972423619048641
0,17,72,6936.181703467083025
0,18,72,6935.254822841693567
0,19,72,6937.674344363821547
0,20,72,6936.557062386483267
0,21,72,6934.673910143565081
0,22,72,6931.991251731420562
0,23,72,6937.815628993449536
0,24,72,6909.266104301903397
0,25,72,6912.085022460708387
0,26,72,6933.318941959087169
0,27,72,6975.557588951664911
0,28,72,6939.445539149573960
0,29,72,6995.626364764909340
0,30,72,6927.019154654488375
0,31,72,6933.984264323062234
0,32,72,6928.763664862834048
0,33,72,6944.584219776762438
0,34,72,6938.807989082004497
0,35,72,6924.589889472134018
0,36,72,6933.625932375804041
0,37,72,6943.124290231221494
0,38,72,6939.295945456949994
0,39,72,6933.212152323811097
0,40,72,6936.860429126174495
0,41,72,6937.498228355636456
0,42,72,6929.717508416027158
0,43,72,6935.925596518497514
0,44,72,6936.973562732348910
0,45,72,6936.856416412288127
0,46,72,6937.758703832155334
0,47,72,6943.148973120501068
0,48,72,6947.131265416450333
0,49,72,6944.269757726606258
0,50,72,6940.113012656940555
0,51,72,6934.186377390395137
0,52,72,6919.541563729109839
0,53,72,6938.739176256830433
0,54,72,6945.948072431844594
0,55,72,6934.766940393242294
0,56,72,6952.666562148297089
0,57,72,6934.953509678864066
0,58,72,6936.029366701794970
0,59,72,6944.108946456762169
0,60,72,6929.791702231450472
0,61,72,6936.981851456645018
0,62,72,6937.904386242935288
0,63,72,6933.816774228124814
0,64,72,6928.846469869492466
0,65,72,6934.321508830723360
0,66,72,6937.263117370319378
0,67,72,6921.388839151626598
0,68,72,6941.369225674964582
0,69,72,6934.331507476636034
0,70,72,6934.864511426567333
0,71,72,6926.161141662693808
0,72,72,6949.078909578557614
0,73,72,6938.247282440175695
0,74,72,6933.472817789137480
0,75,72,6906.188952058695577
0,76,72,6940.280482773727272
0,77,72,6945.247386648156862
0,78,72,6947.715597455475290
0,79,72,6938.503830337192994
0,80,72,6928.408207343991307
0,81,72,6938.043321524458406
0,82,72,6935.937597083348919
0,83,72,6935.160693085816092
0,84,72,6927.480243809273816
0,85,72,6936.180060649987354
0,86,72,6934.115845844519754
0,87,72,6942.632667200448850
0,88,72,6945.079383162926206
0,89,72,6940.267731741797434
0,90,72,6943.426059431339127
0,91,72,6935.500230515061958
0,92,72,6941.487900966485540
0,93,72,6938.888811434050695
0,94,72,6932.858439802397697
0,95,72,6936.383395645830205
